City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,Alofi,-19.0595,-169.9187,300.12,76,72,2.72,NU,2023-03-23
230,Ahipara,-35.1667,173.1667,287.82,69,58,0.9,NZ,2023-03-23
231,Santiago,-33.4569,-70.6483,307.2,16,0,4.63,CL,2023-03-23
232,Ciudad Bolivar,8.1222,-63.5497,308.85,28,100,3.07,VE,2023-03-23
233,Saint-Leu,-21.15,55.2833,298.63,95,60,0.77,RE,2023-03-23
234,Alta Floresta,-9.8756,-56.0861,297.52,89,100,1.04,BR,2023-03-23
235,Beroroha,-21.6667,45.1667,298.41,74,51,1.11,MG,2023-03-23
236,Dalby,-27.1833,151.2667,291.97,76,10,1.01,AU,2023-03-23
237,Copiapo,-27.3667,-70.3333,294.98,37,0,4.19,CL,2023-03-23
238,Yazman,29.1212,71.7446,294.19,67,100,7.1,PK,2023-03-23
239,Gimli,50.6336,-96.9907,268.31,82,12,6.35,CA,2023-03-23
240,Egvekinot,66.3167,-179.1667,248.23,92,99,3.7,RU,2023-03-23
241,General Roca,-39.0333,-67.5833,300.27,15,0,10.38,AR,2023-03-23
242,Baragua,21.6967,-78.6328,303.49,52,83,6.77,CU,2023-03-23
243,Valer,60.6785,11.8331,275.38,100,100,2.46,NO,2023-03-23
244,Kavieng,-2.5744,150.7967,300.63,72,95,4.07,PG,2023-03-23
245,Iqaluit,63.7506,-68.5145,252.98,70,30,4.92,CA,2023-03-23
246,Mattru,7.6244,-11.8332,300.53,72,100,2.14,SL,2023-03-23
247,Singaparna,-7.3515,108.111,295.64,96,90,1.05,ID,2023-03-23
248,Krasnyy Kholm,58.0607,37.1203,276.39,99,100,6.27,RU,2023-03-23
249,Mandalgovi,45.7625,106.2708,259.54,45,0,1.54,MN,2023-03-23
250,Balkanabat,39.5108,54.3671,288.13,62,31,1.83,TM,2023-03-23
251,Fujin,47.26,132.0322,270.59,62,11,3.87,CN,2023-03-23
252,Port Macquarie,-31.4333,152.9167,291.98,95,91,2.88,AU,2023-03-23
253,Ilulissat,69.2167,-51.1,263.16,67,75,2.57,GL,2023-03-23
254,Mecca,21.4267,39.8261,297.09,38,5,0.83,SA,2023-03-23
255,Sayyan,15.1718,44.3244,289.21,47,88,1.62,YE,2023-03-23
256,Cukai,4.25,103.4167,297.8,88,100,1.26,MY,2023-03-23
257,Homer,59.6425,-151.5483,270.82,75,100,9.26,US,2023-03-23
258,Urubicha,-15.3833,-62.95,297.55,96,89,2.25,BO,2023-03-23
259,Kachiry,53.0675,76.1036,271.0,93,100,3.19,KZ,2023-03-23
260,Guanica,17.9716,-66.908,304.29,61,17,4.83,PR,2023-03-23
261,Praia Da Vitoria,38.7333,-27.0667,289.13,67,100,4.6,PT,2023-03-23
262,Moen,69.1304,18.6123,258.63,71,0,0.51,NO,2023-03-23
263,Diffa,13.3154,12.6113,303.91,25,3,1.53,NE,2023-03-23
264,Superior,46.7208,-92.1041,276.18,35,0,4.63,US,2023-03-23
265,Zheleznodorozhnyy,55.7503,38.0042,282.38,89,98,4.69,RU,2023-03-23
266,Jiuquan,39.7432,98.5174,274.62,23,100,1.5,CN,2023-03-23
267,Kozan,37.4552,35.8157,285.77,92,94,1.48,TR,2023-03-23
268,Asyut,27.181,31.1837,297.47,17,19,3.27,EG,2023-03-23
269,Kameshkovo,56.3481,41.0047,277.39,89,100,5.47,RU,2023-03-23
270,Gabu,12.2833,-14.2167,305.96,23,100,1.24,GW,2023-03-23
271,Flin Flon,54.7682,-101.865,269.72,86,98,3.76,CA,2023-03-23
272,Padang,-0.9492,100.3543,298.67,89,100,1.5,ID,2023-03-23
273,Bonavista,48.6499,-53.1147,271.8,82,97,6.02,CA,2023-03-23
274,Along,28.1667,94.7667,287.82,95,100,0.8,IN,2023-03-23
275,Huallanca,-9.8993,-76.9417,285.17,75,100,1.08,PE,2023-03-23
276,Russell,32.3502,-85.1999,299.27,50,0,2.06,US,2023-03-23
277,Rocha,-34.4833,-54.3333,298.27,74,35,2.63,UY,2023-03-23
278,Zalantun,48.0,122.7167,264.64,71,84,1.64,CN,2023-03-23
279,Lamu,-2.2717,40.902,300.27,83,100,4.03,KE,2023-03-23
280,Cayenne,4.9333,-52.3333,301.17,69,75,6.17,GF,2023-03-23
281,Talnakh,69.4865,88.3972,264.38,80,97,7.97,RU,2023-03-23
282,Mannarakkat,10.9833,76.4667,299.75,82,21,0.43,IN,2023-03-23
283,Zhangye,38.9342,100.4517,277.42,29,75,3.2,CN,2023-03-23
284,Richards Bay,-28.783,32.0377,296.4,87,72,1.74,ZA,2023-03-23
285,Uglekamensk,43.2172,133.2303,271.49,43,2,4.16,RU,2023-03-23
286,Slatina,44.4333,24.3667,285.63,68,54,2.82,RO,2023-03-23
287,Pudozh,61.8099,36.5345,275.82,94,100,5.24,RU,2023-03-23
288,Lososina,48.9975,140.3106,267.12,76,90,7.83,RU,2023-03-23
289,Upernavik,72.7868,-56.1549,251.07,89,36,3.4,GL,2023-03-23
290,Havelock,34.8791,-76.9013,300.36,69,82,4.47,US,2023-03-23
291,Mahebourg,-20.4081,57.7,299.96,82,96,5.34,MU,2023-03-23
292,Tromso,69.6496,18.957,265.58,49,0,4.12,NO,2023-03-23
293,Ajdabiya,30.7554,20.2263,289.26,75,0,7.87,LY,2023-03-23
294,Harper,4.375,-7.7169,300.01,80,39,4.85,LR,2023-03-23
295,Zaraza,9.3503,-65.3245,307.78,29,98,4.02,VE,2023-03-23
296,Hithadhoo,-0.6,73.0833,299.9,76,100,0.75,MV,2023-03-23
297,Chicama,-7.8447,-79.1469,301.45,63,61,4.79,PE,2023-03-23
298,Mezen,65.8522,44.24,264.27,87,100,2.6,RU,2023-03-23
299,Akureyri,65.6835,-18.0878,269.63,96,100,2.33,IS,2023-03-23
300,Manhattan,40.7834,-73.9662,286.84,87,100,5.66,US,2023-03-23
301,Wala,4.578,12.3154,294.49,93,100,1.91,CM,2023-03-23
302,Clyde River,70.4692,-68.5914,249.52,85,22,1.27,CA,2023-03-23
303,Ponta Delgada,37.7333,-25.6667,286.55,82,20,3.09,PT,2023-03-23
304,Sioux Lookout,50.1001,-91.917,271.09,80,98,2.89,CA,2023-03-23
305,Tofield,53.3668,-112.6686,273.69,98,33,1.61,CA,2023-03-23
306,Oranjemund,-28.55,16.4333,290.46,83,0,2.12,NA,2023-03-23
307,Agadez,19.75,10.25,298.74,16,100,3.96,NE,2023-03-23
308,Yamada,39.4667,141.95,286.24,97,100,1.53,JP,2023-03-23
309,Sjovegan,68.8726,17.8474,259.87,83,3,2.63,NO,2023-03-23
310,Tabou,4.423,-7.3528,299.82,82,62,5.16,CI,2023-03-23
311,Schweinfurt,50.05,10.2333,286.81,90,100,3.13,DE,2023-03-23
312,Dhidhdhoo,6.8833,73.1,301.23,68,56,4.01,MV,2023-03-23
313,Mana,5.6592,-53.7767,300.44,73,43,3.92,GF,2023-03-23
314,Igboho,8.8333,3.75,302.14,46,10,1.56,NG,2023-03-23
315,Plouzane,48.3833,-4.6167,283.25,93,75,6.69,FR,2023-03-23
316,Tautira,-17.7333,-149.15,300.36,80,33,5.59,PF,2023-03-23
317,Aberdeen,57.1437,-2.0981,281.78,81,45,5.14,GB,2023-03-23
318,Amasya,40.6667,35.8333,280.97,85,65,0.92,TR,2023-03-23
319,Dalnegorsk,44.5604,135.5701,270.46,66,1,3.85,RU,2023-03-23
320,Carutapera,-1.195,-46.02,299.86,84,84,1.87,BR,2023-03-23
321,Zeya,53.75,127.2667,253.3,90,9,1.98,RU,2023-03-23
322,Newcastle,-32.9272,151.7765,292.43,95,75,2.06,AU,2023-03-23
323,Nabire,-3.3667,135.4833,297.46,89,100,1.44,ID,2023-03-23
324,Hanzhong,33.0728,107.0303,281.47,90,100,1.36,CN,2023-03-23
325,Lavrentiya,65.5833,-171.0,255.6,96,100,0.73,RU,2023-03-23
326,Ostersund,63.1792,14.6357,271.4,100,100,6.69,SE,2023-03-23
327,Pilot Butte,50.4668,-104.4178,267.94,67,5,4.22,CA,2023-03-23
328,Tilichiki,60.4667,166.1,239.45,99,19,2.18,RU,2023-03-23
329,Mucurapo,10.6667,-61.5333,303.29,68,100,4.22,TT,2023-03-23
330,Ivanteyevka,55.9711,37.9208,282.45,92,100,4.45,RU,2023-03-23
331,Bonthe,7.5264,-12.505,299.86,75,100,4.27,SL,2023-03-23
332,Roald,62.5833,6.1333,280.24,93,75,3.6,NO,2023-03-23
333,Seoul,37.5683,126.9778,282.93,37,0,4.12,KR,2023-03-23
334,Dali,25.7,100.1833,280.36,68,0,2.54,CN,2023-03-23
335,Arcachon,44.5875,-1.0519,292.33,67,0,0.0,FR,2023-03-23
336,Santa Catalina,9.3337,122.8637,298.96,85,42,1.49,PH,2023-03-23
337,Porto Santo,33.072,-16.3415,291.36,63,20,3.6,PT,2023-03-23
